description_record_id,sku,locale,short_description,long_description,material,care_instructions,bullet_1,bullet_2,seo_title,seo_description,approval_status,updated_at
DESC-000001,SKU-00001,en-CA,Wireless Earbuds built for versatile use.,"The Northstar Wireless Earbuds balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Wipe clean,Available in Black,Backed by a 1-year limited warranty,Wireless Earbuds | Northstar,Shop the Wireless Earbuds from Northstar. Practical design and dependable performance.,approved,2026-08-10T14:00:00.000Z
DESC-000002,SKU-00002,en-CA,Ceramic Planter built for versatile use.,"The Field & Form Ceramic Planter balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Wipe clean,Available in White,Backed by a 1-year limited warranty,Ceramic Planter | Field & Form,Shop the Ceramic Planter from Field & Form. Practical design and dependable performance.,approved,2026-08-09T14:00:00.000Z
DESC-000003,SKU-00003,en-CA,Dry Bag built for durable use.,"The Arcwell Dry Bag balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in Navy,Backed by a 1-year limited warranty,Dry Bag | Arcwell,Shop the Dry Bag from Arcwell. Practical design and dependable performance.,approved,2026-08-08T14:00:00.000Z
DESC-000004,SKU-00004,en-CA,Everyday Socks built for thoughtfully designed use.,"The Juniper Everyday Socks balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Wipe clean,Available in Forest Green,Backed by a 1-year limited warranty,Everyday Socks | Juniper,Shop the Everyday Socks from Juniper. Practical design and dependable performance.,approved,2026-08-07T14:00:00.000Z
DESC-000005,SKU-00005,en-CA,Mixing Bowl Set built for everyday use.,"The Kite Supply Mixing Bowl Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Mixing Bowl Set | Kite Supply,Shop the Mixing Bowl Set from Kite Supply. Practical design and dependable performance.,approved,2026-08-06T14:00:00.000Z
DESC-000006,SKU-00006,en-CA,Resistance Bands built for durable use.,"The Common Goods Resistance Bands balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Red,Backed by a 1-year limited warranty,Resistance Bands | Common Goods,Shop the Resistance Bands from Common Goods. Practical design and dependable performance.,approved,2026-08-05T14:00:00.000Z
DESC-000007,SKU-00007,en-CA,USB-C Hub built for versatile use.,"The Northstar USB-C Hub balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in Slate,Backed by a 1-year limited warranty,USB-C Hub | Northstar,Shop the USB-C Hub from Northstar. Practical design and dependable performance.,approved,2026-08-04T14:00:00.000Z
DESC-000008,SKU-00008,en-CA,LED Desk Lamp built for thoughtfully designed use.,"The Field & Form LED Desk Lamp balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Machine wash cold,Available in Natural,Backed by a 1-year limited warranty,LED Desk Lamp | Field & Form,Shop the LED Desk Lamp from Field & Form. Practical design and dependable performance.,approved,2026-08-03T14:00:00.000Z
DESC-000009,SKU-00009,en-CA,Hiking Poles built for durable use.,"The Arcwell Hiking Poles balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Hand wash only,Available in Black,Backed by a 1-year limited warranty,Hiking Poles | Arcwell,Shop the Hiking Poles from Arcwell. Practical design and dependable performance.,approved,2026-08-02T14:00:00.000Z
DESC-000010,SKU-00010,en-CA,Rain Shell built for everyday use.,"The Juniper Rain Shell balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Hand wash only,Available in White,Backed by a 1-year limited warranty,Rain Shell | Juniper,Shop the Rain Shell from Juniper. Practical design and dependable performance.,approved,2026-08-01T14:00:00.000Z
DESC-000011,SKU-00011,en-CA,Chef Knife built for thoughtfully designed use.,"The Kite Supply Chef Knife balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Machine wash cold,Available in Navy,Backed by a 1-year limited warranty,Chef Knife | Kite Supply,Shop the Chef Knife from Kite Supply. Practical design and dependable performance.,draft,2026-07-31T14:00:00.000Z
DESC-000012,SKU-00012,en-CA,Yoga Mat built for thoughtfully designed use.,"The Common Goods Yoga Mat balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Forest Green,Backed by a 1-year limited warranty,Yoga Mat | Common Goods,Shop the Yoga Mat from Common Goods. Practical design and dependable performance.,approved,2026-07-30T14:00:00.000Z
DESC-000013,SKU-00013,en-CA,Mechanical Keyboard built for everyday use.,"The Northstar Mechanical Keyboard balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Store in a dry place,Available in Sand,Backed by a 1-year limited warranty,Mechanical Keyboard | Northstar,Shop the Mechanical Keyboard from Northstar. Practical design and dependable performance.,approved,2026-07-29T14:00:00.000Z
DESC-000014,SKU-00014,en-CA,Storage Basket built for everyday use.,"The Field & Form Storage Basket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Store in a dry place,,Backed by a 1-year limited warranty,Storage Basket | Field & Form,Shop the Storage Basket from Field & Form. Practical design and dependable performance.,approved,2026-07-28T14:00:00.000Z
DESC-000015,SKU-00015,en-CA,Picnic Blanket built for thoughtfully designed use.,"The Arcwell Picnic Blanket balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Machine wash cold,Available in Slate,Backed by a 1-year limited warranty,Picnic Blanket | Arcwell,Shop the Picnic Blanket from Arcwell. Practical design and dependable performance.,approved,2026-07-27T14:00:00.000Z
DESC-000016,SKU-00016,en-CA,Classic Hoodie built for lightweight use.,"The Juniper Classic Hoodie balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",,Machine wash cold,Available in Natural,Backed by a 1-year limited warranty,Classic Hoodie | Juniper,Shop the Classic Hoodie from Juniper. Practical design and dependable performance.,approved,2026-07-26T14:00:00.000Z
DESC-000017,SKU-00017,en-CA,Glass Carafe built for thoughtfully designed use.,"The Kite Supply Glass Carafe balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Store in a dry place,Available in Black,Backed by a 1-year limited warranty,Glass Carafe | Kite Supply,,approved,2026-07-25T14:00:00.000Z
DESC-000018,SKU-00018,en-CA,,"The Common Goods Foam Roller balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,Store in a dry place,Available in White,Backed by a 1-year limited warranty,Foam Roller | Common Goods,Shop the Foam Roller from Common Goods. Practical design and dependable performance.,approved,2026-07-24T14:00:00.000Z
DESC-000019,SKU-00019,en-CA,Portable Charger built for durable use.,"The Northstar Portable Charger balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Wipe clean,Available in Navy,,Portable Charger | Northstar,Shop the Portable Charger from Northstar. Practical design and dependable performance.,approved,2026-07-23T14:00:00.000Z
DESC-000020,SKU-00020,en-CA,Cotton Towel Set built for thoughtfully designed use.,"The Field & Form Cotton Towel Set balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Organic cotton,,Available in Forest Green,Backed by a 1-year limited warranty,Cotton Towel Set | Field & Form,Shop the Cotton Towel Set from Field & Form. Practical design and dependable performance.,approved,2026-07-22T14:00:00.000Z
DESC-000021,SKU-00021,en-CA,Trail Bottle built for everyday use.,"The Arcwell Trail Bottle balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",BPA-free plastic,Machine wash cold,Available in Sand,Backed by a 1-year limited warranty,Trail Bottle | Arcwell,Shop the Trail Bottle from Arcwell. Practical design and dependable performance.,approved,2026-07-21T14:00:00.000Z
DESC-000022,SKU-00022,en-CA,Merino Tee built for versatile use.,"The Juniper Merino Tee balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Mixed materials,Store in a dry place,Available in Red,Backed by a 1-year limited warranty,Merino Tee | Juniper,Shop the Merino Tee from Juniper. Practical design and dependable performance.,draft,2026-07-20T14:00:00.000Z
DESC-000023,SKU-00023,en-CA,Bamboo Board built for thoughtfully designed use.,"The Kite Supply Bamboo Board balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Recycled polyester,Wipe clean,Available in Slate,Backed by a 1-year limited warranty,Bamboo Board | Kite Supply,Shop the Bamboo Board from Kite Supply. Practical design and dependable performance.,approved,2026-07-19T14:00:00.000Z
DESC-000024,SKU-00024,en-CA,Training Gloves built for durable use.,"The Common Goods Training Gloves balances practical performance with a clean, modern finish. Designed in Canada for reliable everyday use.",Stainless steel,Store in a dry place,Available in Natural,Backed by a 1-year limited warranty,Training Gloves | Common Goods,Shop the Training Gloves from Common Goods. Practical design and dependable performance.,approved,2026-07-18T14:00:00.000Z
