sku,upc,product_name,brand,category,subcategory,colour,size,unit_price_cad,cost_cad,currency,taxable,status,supplier_id,created_at,updated_at
SKU-00001,6281000000001,Wireless Earbuds - Black,Northstar,Electronics,Wireless,Black,ONE SIZE,14.99,8.09,CAD,true,active,SUP-001,2025-07-07T14:00:00.000Z,2026-08-11T14:00:00.000Z
SKU-00002,6281000000002,Ceramic Planter - White,Field & Form,Home,Ceramic,White,ONE SIZE,22.24,12.01,CAD,true,active,SUP-002,2025-07-08T14:00:00.000Z,2026-08-10T14:00:00.000Z
SKU-00003,6281000000003,Dry Bag - Navy,Arcwell,Outdoors,Dry,Navy,ONE SIZE,29.49,15.92,CAD,true,active,SUP-003,2025-07-09T14:00:00.000Z,2026-08-09T14:00:00.000Z
SKU-00004,6281000000004,Everyday Socks - Forest Green,Juniper,Apparel,Everyday,Forest Green,M,36.74,19.84,CAD,true,active,SUP-004,2025-07-10T14:00:00.000Z,2026-08-08T14:00:00.000Z
SKU-00005,6281000000005,Mixing Bowl Set - Sand,Kite Supply,Kitchen,Mixing,Sand,ONE SIZE,43.99,23.75,CAD,true,active,SUP-005,2025-07-11T14:00:00.000Z,2026-08-07T14:00:00.000Z
SKU-00006,6281000000006,Resistance Bands - Red,Common Goods,Fitness,Resistance,Red,ONE SIZE,51.24,27.67,CAD,true,active,SUP-006,2025-07-12T14:00:00.000Z,2026-08-06T14:00:00.000Z
SKU-00007,6281000000007,USB-C Hub - Slate,Northstar,Electronics,USB-C,Slate,ONE SIZE,58.49,31.58,CAD,true,active,SUP-007,2025-07-13T14:00:00.000Z,2026-08-05T14:00:00.000Z
SKU-00008,6281000000008,LED Desk Lamp - Natural,Field & Form,Home,LED,Natural,ONE SIZE,65.74,35.5,CAD,true,active,SUP-008,2025-07-14T14:00:00.000Z,2026-08-04T14:00:00.000Z
SKU-00009,6281000000009,Hiking Poles - Black,Arcwell,Outdoors,Hiking,Black,ONE SIZE,72.99,39.41,CAD,true,active,SUP-009,2025-07-15T14:00:00.000Z,2026-08-03T14:00:00.000Z
SKU-00010,6281000000010,Rain Shell - White,Juniper,Apparel,Rain,White,XS,80.24,43.33,CAD,true,active,SUP-010,2025-07-16T14:00:00.000Z,2026-08-02T14:00:00.000Z
SKU-00011,6281000000011,Chef Knife - Navy,Kite Supply,Kitchen,Chef,Navy,ONE SIZE,87.49,47.24,CAD,true,active,SUP-011,2025-07-17T14:00:00.000Z,2026-08-01T14:00:00.000Z
