upc,launch_week,launch_date
6281000000001,Launch Week 1,2026-01-05
6281000000002,Launch Week 2,2026-01-12
6281000000003,Launch Week 3,2026-01-19
6281000000004,Launch Week 4,2026-01-26
6281000000005,Launch Week 5,2026-02-02
6281000000006,Launch Week 6,2026-02-09
6281000000007,Launch Week 7,2026-02-16
6281000000008,Launch Week 8,2026-02-23
6281000000009,Launch Week 9,2026-03-02
6281000000010,Launch Week 10,2026-03-09
6281000000011,Launch Week 11,2026-03-16
6281000000012,Launch Week 12,2026-03-23
6281000000013,Launch Week 13,2026-03-30
6281000000014,Launch Week 14,2026-04-06
6281000000015,Launch Week 15,2026-04-13
6281000000016,Launch Week 16,2026-04-20
6281000000017,Launch Week 17,2026-04-27
6281000000018,Launch Week 18,2026-05-04
6281000000020,Launch Week 19,2026-05-11
6281000000021,Launch Week 20,2026-05-18
6281000000022,Launch Week 21,2026-05-25
6281000000023,Launch Week 22,2026-06-01
6281000000024,Launch Week 23,2026-06-08
6281000000025,Launch Week 24,2026-06-15
6281000000026,Launch Week 25,2026-06-22
6281000000027,Launch Week 26,2026-06-29
6281000000028,Launch Week 27,2026-07-06
6281000000029,Launch Week 28,2026-07-13
6281000000030,Launch Week 29,2026-07-20
6281000000031,Launch Week 30,2026-07-27
6281000000032,Launch Week 31,2026-08-03
6281000000033,Launch Week 32,2026-08-10
6281000000034,Launch Week 33,2026-08-17
6281000000035,Launch Week 34,2026-08-24
6281000000036,Launch Week 35,2026-08-31
6281000000037,Launch Week 36,2026-09-07
6281000000039,Launch Week 37,2026-09-14
6281000000040,Launch Week 38,2026-09-21
6281000000041,Launch Week 39,2026-09-28
6281000000042,Launch Week 40,2026-10-05
6281000000043,Launch Week 41,2026-10-12
6281000000044,Launch Week 42,2026-10-19
6281000000045,Launch Week 43,2026-10-26
6281000000046,Launch Week 44,2026-11-02
6281000000047,Launch Week 45,2026-11-09
6281000000048,Launch Week 46,2026-11-16
6281000000049,Launch Week 47,2026-11-23
6281000000050,Launch Week 48,2026-11-30
6281000000051,Launch Week 49,2026-12-07
6281000000052,Launch Week 50,2026-12-14
6281000000053,Launch Week 51,2026-12-21
6281000000054,Launch Week 52,2026-12-28
6281000000055,Launch Week 53,2027-01-04
6281000000056,Launch Week 54,2027-01-11
6281000000058,Launch Week 55,2027-01-18
6281000000059,Launch Week 56,2027-01-25
6281000000060,Launch Week 57,2027-02-01
6281000000061,Launch Week 58,2027-02-08
6281000000062,Launch Week 59,2027-02-15
6281000000063,Launch Week 60,2027-02-22
6281000000064,Launch Week 61,2027-03-01
6281000000065,Launch Week 62,2027-03-08
6281000000066,Launch Week 63,2027-03-15
6281000000067,Launch Week 64,2027-03-22
6281000000068,Launch Week 65,2027-03-29
6281000000069,Launch Week 66,2027-04-05
6281000000070,Launch Week 67,2027-04-12
6281000000071,Launch Week 68,2027-04-19
6281000000072,Launch Week 69,2027-04-26
6281000000073,Launch Week 70,2027-05-03
6281000000074,Launch Week 71,2027-05-10
6281000000075,Launch Week 72,2027-05-17
6281000000077,Launch Week 73,2027-05-24
6281000000078,Launch Week 74,2027-05-31
6281000000079,Launch Week 75,2027-06-07
6281000000080,Launch Week 76,2027-06-14
6281000000081,Launch Week 77,2027-06-21
6281000000082,Launch Week 78,2027-06-28
6281000000083,Launch Week 79,2027-07-05
6281000000084,Launch Week 80,2027-07-12
6281000000085,Launch Week 81,2027-07-19
6281000000086,Launch Week 82,2027-07-26
6281000000087,Launch Week 83,2027-08-02
6281000000088,Launch Week 84,2027-08-09
6281000000089,Launch Week 85,2027-08-16
6281000000090,Launch Week 86,2027-08-23
6281000000091,Launch Week 87,2027-08-30
6281000000092,Launch Week 88,2027-09-06
6281000000093,Launch Week 89,2027-09-13
6281000000094,Launch Week 90,2027-09-20
6281000000096,Launch Week 91,2027-09-27
6281000000097,Launch Week 92,2027-10-04
6281000000098,Launch Week 93,2027-10-11
6281000000099,Launch Week 94,2027-10-18
6281000000100,Launch Week 95,2027-10-25
6281000000101,Launch Week 96,2027-11-01
6281000000102,Launch Week 97,2027-11-08
6281000000103,Launch Week 98,2027-11-15
6281000000104,Launch Week 99,2027-11-22
6281000000105,Launch Week 100,2027-11-29
6281000000106,Launch Week 101,2027-12-06
6281000000107,Launch Week 102,2027-12-13
6281000000108,Launch Week 103,2027-12-20
6281000000109,Launch Week 104,2027-12-27
6281000000110,Launch Week 105,2028-01-03
6281000000111,Launch Week 106,2028-01-10
6281000000112,Launch Week 107,2028-01-17
6281000000113,Launch Week 108,2028-01-24
6281000000115,Launch Week 109,2028-01-31
6281000000117,Launch Week 110,2028-02-07
6281000000119,Launch Week 111,2028-02-14
6281000000120,Launch Week 112,2028-02-21
