image_record_id,sku,image_url,image_role,sort_order,alt_text,width_px,height_px,is_active,updated_at
IMG-000001,SKU-00001,https://cdn.example-retail.test/products/sku-00001/main.jpg,PRIMARY,1,Wireless Earbuds in Black,1200,1200,true,2026-08-10T14:00:00.000Z
IMG-000002,SKU-00002,https://cdn.example-retail.test/products/sku-00002/main.jpg,PRIMARY,1,Ceramic Planter in White,1200,1200,true,2026-08-09T14:00:00.000Z
IMG-000003,SKU-00003,https://cdn.example-retail.test/products/sku-00003/main.jpg,PRIMARY,1,Dry Bag in Navy,1200,1200,true,2026-08-08T14:00:00.000Z
IMG-000004,SKU-00004,https://cdn.example-retail.test/products/sku-00004/main.jpg,PRIMARY,1,Everyday Socks in Forest Green,1200,1200,true,2026-08-07T14:00:00.000Z
IMG-000005,SKU-00005,https://cdn.example-retail.test/products/sku-00005/detail-1.jpg,DETAIL,2,Mixing Bowl Set in Sand,1200,1200,true,2026-08-06T14:00:00.000Z
IMG-000006,SKU-00006,https://cdn.example-retail.test/products/sku-00006/main.jpg,PRIMARY,1,Resistance Bands in Red,1200,1200,true,2026-08-05T14:00:00.000Z
IMG-000007,SKU-00007,https://cdn.example-retail.test/products/sku-00007/main.jpg,PRIMARY,1,USB-C Hub in Slate,1200,1200,true,2026-08-04T14:00:00.000Z
IMG-000008,SKU-00008,https://cdn.example-retail.test/products/sku-00008/main.jpg,PRIMARY,1,LED Desk Lamp in Natural,1200,1200,true,2026-08-03T14:00:00.000Z
IMG-000009,SKU-00009,https://cdn.example-retail.test/products/sku-00009/main.jpg,PRIMARY,1,Hiking Poles in Black,1200,1200,true,2026-08-02T14:00:00.000Z
IMG-000010,SKU-00010,https://cdn.example-retail.test/products/sku-00010/detail-1.jpg,DETAIL,2,Rain Shell in White,1200,1200,true,2026-08-01T14:00:00.000Z
IMG-000011,SKU-00011,https://cdn.example-retail.test/products/sku-00011/main.jpg,PRIMARY,1,Chef Knife in Navy,1200,1200,true,2026-07-31T14:00:00.000Z
IMG-000012,SKU-00012,https://cdn.example-retail.test/products/sku-00012/main.jpg,PRIMARY,1,Yoga Mat in Forest Green,1200,1200,true,2026-07-30T14:00:00.000Z
